SN,Name,Type,Size,Percent,SHA1
0,cpp_Analyzer.exe,File,1566957,21.82,"440b85d01e56ba0fc4b0d91747673843cfbeee0e"
0,dirStat.exe,File,1334353,18.58,"32393d4986445edcb39d7f36c62c68a10798b779"
0,imgui.exe,File,1229312,17.12,"719a3cfb397e1cdc662b6dacbca0b07d63930dc1"
0,json.hpp,File,953436,13.28,"66390f37acdcda0afc28ab8e90cb9b17b9d87b88"
0,outp,Folder,624634,8.70,FOLDER
0,codebaseStats.exe,File,245361,3.42,"876b38444759a16c96d4915072e39afb6a4941dd"
0,expEval.exe,File,207544,2.89,"64b47f3f0b11defdf55e3995a2568b85b13d59c4"
0,newExpEval.exe,File,170588,2.38,"8b118ddb6182e63853a85fbb7887e1b53810271e"
0,dirTree.exe,File,149456,2.08,"d813f6b30bd206bdf1e565eef3137d5faa3f8fa5"
0,argT.exe,File,118871,1.66,"79b1748deacd989529755e1be7d3d3ab0a658d86"
0,percep.exe,File,103321,1.44,"d6af575c0d8565c63de50fafe74eaa59eb6d9562"
0,argEval.exe,File,79073,1.10,"a94f82432bb7f2a9080a225d932a5a6e6aab9b9d"
0,mytool.exe,File,78261,1.09,"e64a545127ff9294be85c49b1c05eb830452f421"
0,twice.exe,File,66625,0.93,"620f6c5db02773e25de3ed44f36c182befeda949"
0,twice_e.exe,File,66416,0.92,"7b390ed995a9dc9bb57d997c89a13dc29bfc4d65"
0,nn.exe,File,65921,0.92,"2b11c559813ab1a659405abe0512fb654fabdaea"
0,aryan.exe,File,63850,0.89,"d558047e349b2a9bd8f5139b6309c31fe7fde260"
0,wirTreeClone2.cpp,File,6752,0.09,"a2f878dcb4e7524639c7ce4b5205e574c7157e11"
0,codeAnalyzer.cpp,File,6315,0.09,"37e8f1c8d8ddd4144415193531e4dd1ec5d398f4"
0,TinySHA1.hpp,File,5547,0.08,"25bd4bcaf17f6b8fc7b8df3e391ba91b16bc1230"
0,codebaseAnalyzer.cpp,File,4912,0.07,"52ecfd687a6e5bd89b0ae80740009485b7d76b19"
0,exp_eval.cpp,File,4438,0.06,"06eb39dfee40e404978cb408d38877de9b75e8ee"
0,new_exp_eval.cpp,File,4270,0.06,"049bfa38ca2acbca16899577578c5933eb1087c3"
0,game.cpp,File,3927,0.05,"b4ab09e54bc11713979d45ed5fb5cb7ceda2fbd3"
0,wirTree_clone.cpp,File,3712,0.05,"bc1f16e870b9a4b21b209be3e80bb1368c3de632"
0,mytooldoc.cpp,File,3584,0.05,"9720ecd50cd4965cc2a2ee1ea2969dcfd38653f5"
0,scanout.csv,File,2570,0.04,b02df1a9d504d37bc686601a1949886a22675b75
0,.vscode,Folder,2233,0.03,FOLDER
0,hashmap.txt,File,2193,0.03,7f56835e7782b392e8cf96f084340814126c04ae
0,twice.c,File,1385,0.02,"692099e272fd60005bf1711e90be07c7958b4bc4"
0,arg_parse_test.cpp,File,1362,0.02,"64f28e620b5021104e681cb1d2ae35ee79807179"
0,shaTest.cpp,File,1090,0.02,"a52581325ae0ed866fb76e5d3d7e72a87b23e2b6"
0,fizzbaz.o,File,962,0.01,"de8cbfd49ddf755ce346e13eab8ba9d7cf6ed46a"
0,imgui.ini,File,836,0.01,"3b3951b67c929361d8cc1d07f9944fa53623a230"
0,fizzbaz.c,File,798,0.01,"aca860b25810015ad3a7bc878a225e2b2c69ab1f"
0,perceptron.cpp,File,619,0.01,"c7c5cce17421e781e9893eac7c5d35c03f2f43e2"
0,myoutput.txt,File,0,0.00,"da39a3ee5e6b4b0d3255bfef95601890afd80709"
